author,year,paper_title,doi,country,state_region,lat,lon,ecosystem,lake_area,system_type,predator_latin,predator_common,base_latin,base_common,dN_top,dN_base,tp_base,fcl,tef,lake_id,ecosystem_key,TP
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.215883,-79.45208,Chautauqua Lake,3.73,Lake,Micropterus salmoides,Largemouth bass,NA,NA,16.1,9.41,2,3.97,3.4,chautauqua lake,chautauqualake,12.2
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Clear Lake,1.81,Lake,Micropterus salmoides,Largemouth bass,NA,NA,12.44,5.92,2,3.92,3.4,clear lake,clearlake,4.3
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Clear Lake,1.81,Lake,Micropterus salmoides,Largemouth bass,NA,NA,12.44,5.92,2,3.92,3.4,clear lake,clearlake,6.6
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,43.126747,-76.477971,Cross Lake,2.9,Lake,Micropterus salmoides,Largemouth bass,NA,NA,18.14,11.08,2,4.08,3.4,cross lake,crosslake,25.4
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.250793,-78.292199,Cuba Lake,2.26,Lake,Micropterus salmoides,Largemouth bass,NA,NA,16.4,11.83,2,3.35,3.4,cuba lake,cubalake,15.1
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,Canada/USA,NA,42.154553,-81.344483,Lake Erie,6.41,Lake,Salvelinus namaycush,Lake trout,NA,NA,17.34,9.22,2,4.39,3.4,lake erie,lakeerie,5.5
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.754163,-77.512551,Honeoye Lake,2.85,Lake,Micropterus salmoides,Largemouth bass,NA,NA,14.74,7.05,2,4.26,3.4,honeoye lake,honeoyelake,36.6
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Hyde Lake,1.86,Lake,Esox lucius,Northern pike,NA,NA,12.11,5.38,2,3.98,3.4,hyde lake,hydelake,12.2
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,Wisconsin,42.964527,-89.255937,Lake Kegonsa,3.11,Lake,Micropterus salmoides,Largemouth bass,NA,NA,16.73,9.81,2,4.04,3.4,lake kegonsa,lakekegonsa,89
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.493196,-77.142865,Keuka Lake,3.67,Lake,Salvelinus namaycush,Lake trout,NA,NA,17.6,9.64,2,4.34,3.4,keuka lake,keukalake,2.6
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,43.307787,-76.436109,Neatahwanta Lake,2.44,Lake,Micropterus salmoides,Largemouth bass,NA,NA,13.68,7.59,2,3.79,3.4,neatahwanta lake,neatahwantalake,230
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,Canada,Ontario,43.633707,-77.854633,Lake Ontario,6.27,Lake,Salvelinus namaycush,Lake trout,NA,NA,18.37,8.09,2,5.02,3.4,lake ontario,lakeontario,9
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,42.828963,-76.512718,Owasco Lake,3.44,Lake,Salvelinus namaycush,Lake trout,NA,NA,18.07,10.78,2,4.14,3.4,owasco lake,owascolake,6.6
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,43.841594,-74.641383,Raquette Lake,3.3,Lake,Salvelinus namaycush,Lake trout,NA,NA,12.28,5.29,2,4.05,3.4,raquette lake,raquettelake,5.7
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Round Pond,0.85,Lake,Micropterus salmoides,Largemouth bass,NA,NA,11.88,6,2,3.73,3.4,round pond,roundpond,18.5
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Silver Lake,2.53,Lake,Micropterus salmoides,Largemouth bass,NA,NA,18.09,11.41,2,3.97,3.4,silver lake,silverlake,23.5
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,NA,NA,NA,NA,Spencer Lake,1.41,Lake,Micropterus salmoides,Largemouth bass,NA,NA,14.66,8.63,2,3.77,3.4,spencer lake,spencerlake,7.5
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,41.846936,-73.753801,Upton Lake,1.28,Lake,Micropterus salmoides,Largemouth bass,NA,NA,13.4,8.32,2,3.49,3.4,upton lake,uptonlake,9.4
"Post, D. M.",2000,Food-chain length and food web links: testing and expanding food-chain theory.,NA,USA,New York,43.20423,-75.921385,Oneida Lake,4.32,Lake,Sander vitreus,Walleye,NA,NA,15.9,8.26,2,4.25,3.4,oneida lake,oneidalake,26.8
"Stapleton, H. M. et al.",2001,Accumulation of Atmospheric and Sedimentary PCBs and Toxaphene in a Lake Michigan Food Web,10.1021/es0019225,USA,Michigan,43.999869,-87.018901,Lake Michigan,6.35,Lake,Lota lota,Burbot,Amphipoda,Amphipopds,16.37,9.22,2,4.1,3.4,lake michigan,lakemichigan,5.5
"Grey, J. et al.",2004,"The Utility of Carbon and Nitrogen Isotope Analyses to Trace Contributions from Fish Farms to the Receiving Communities of Freshwater Lakes: a Pilot Study in Esthwaite Water, UK",10.1023/B:HYDR.0000036144.49795.dd,Scotland,Scottish Highlands,57.272239,-4.487983,Loch Ness,4.25,Lake,Salmo trutta,Brown trout,phytoplankton,phytoplankton,13.5,7.6,2,3.74,3.4,loch ness,lochness,NA
"Jones, J. I. et al.",2003,"Combined stable isotope and gut contents analysis of food webs in plant?dominated, shallow lakes",10.1046/j.1365-2427.2003.01095.x,England,Norfolk,52.627033,0.461302,Stradsett Hall Lake,0.92,Lake,Esox lucius,Northern pike,Hydracarina,Water mites,17.91,12.27,2,3.66,3.4,stradsett hall lake,stradsetthalllake,166
"Jones, J. I. et al.",2003,"Combined stable isotope and gut contents analysis of food webs in plant?dominated, shallow lakes",10.1046/j.1365-2427.2003.01095.x,England,Norfolk,52.87026,0.983846,Gunthrope Hall Lake,0.23,Lake,Esox lucius,Northern pike,Eurycercus,Eurycercus,16.66,11.02,2,3.66,3.4,gunthrope hall lake,gunthropehalllake,65
"Jones, J. I. et al.",2003,"Combined stable isotope and gut contents analysis of food webs in plant?dominated, shallow lakes",10.1046/j.1365-2427.2003.01095.x,England,Norfolk,52.922307000000004,1.044767,Bayfield Hall Lake,0.43,Lake,Esox lucius,Northern pike,Eurycercus,Eurycercus,16.65,10.12,2,3.92,3.4,bayfield hall lake,bayfieldhalllake,241
"Jones, J. I. et al.",2003,"Combined stable isotope and gut contents analysis of food webs in plant?dominated, shallow lakes",10.1046/j.1365-2427.2003.01095.x,England,Norfolk,NA,NA,Bluestone Plantation Lake,0.56,Lake,Scardinius erythrophthalmus,Rudd,Bithynia tentaculata,faucet snail,17.33,14.02,2,2.97,3.4,bluestone plantation lake,bluestoneplantationlake,41
"Grey, J. et al.",2004,Ferox Trout (Salmo trutta) as `Russian dolls': complementary gut content and stable isotope analyses of the Loch Ness foodweb,10.1046/j.1365-2427.2002.00838.x,England,Ambleside,54.358132,-2.984312,Esthwaite Water,2,Lake,Rutilus rutilus,Common roach,NA,NA,12.6,7.75,2,3.43,3.4,esthwaite water,esthwaitewater,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.793639,-71.433571,Mashapaug Pond,1.43,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,11.4,8.8,2,2.76,3.4,mashapaug pond,mashapaugpond,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.422312,-71.553253,Tucker Pond,1.58,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,11.1,5.3,2,3.71,3.4,tucker pond,tuckerpond,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.653811,-71.589836,Michnock Lake,1.29,Lake,Esox niger,Chain pickerel,Elliptio complanata,Unionid mussels,15,9.1,2,3.74,3.4,michnock lake,michnocklake,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.768151,-71.477307,Meshanticut Pond,0.65,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,15.4,8.8,2,3.94,3.4,meshanticut pond,meshanticutpond,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.67788,-71.550206,Tiogue Lake,1.94,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,18.8,12,2,4,3.4,tiogue lake,tioguelake,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.470102,-71.557885,Larkin Pond,1.25,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,15.5,8.5,2,4.06,3.4,larkin pond,larkinpond,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.679333,-71.677832,Quidnick Resevoir,1.86,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,12,4.9,2,4.09,3.4,quidnick resevoir,quidnickresevoir,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.500218,-71.542428,Hundred Acre Pond,1.53,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,15.9,8.8,2,4.09,3.4,hundred acre pond,hundredacrepond,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.828165,-71.542597,Oak Swamp Resevoir,1.63,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,15.1,7.8,2,4.15,3.4,oak swamp resevoir,oakswampresevoir,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.752672,-71.548998,J.L. Curran Upper Resevoir,1.05,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,15.8,8.3,2,4.21,3.4,j.l. curran upper resevoir,j.l.curranupperresevoir,NA
"Lake, J. L. et al.",2001,Stable nitrogen isotopes as indicators of anthropogenic activities in small freshwater systems,10.1139/cjfas-58-5-870,USA,Rhode Island,41.511143,-71.572736,Yawgoo Pond,1.82,Lake,Micropterus salmoides,Largemouth bass,Elliptio complanata,Unionid mussels,13.9,6.1,2,4.29,3.4,yawgoo pond,yawgoopond,NA
"Tatrai, I. et al.",1999,"Stable isotope analysis of food webs in wetland areas of Lake Balaton, Hungary",10.1127/archiv-hydrobiol/146/1999/117,Hungary,Somogy,46.83074,17.723934,Lake Balaton,4.77,Lake,Sander lucioperca,Zander,benthic invertebrates,benthic invertebrates,13.39,6.84,2,3.93,3.4,lake balaton,lakebalaton,NA
"Black, A. R. et al.",2003,Carbon and nitrogen stable isotope assessment of the Lake Roosevelt aquatic food web,NA,USA,Washington,48.100127,-118.244555,Lake Roosevelt,4.39,Lake,Lota lota,Burbot,NA,NA,12.24,5.84,2,3.88,3.4,lake roosevelt,lakeroosevelt,6
"Toda, H. et al.",1990,"Use of 15N/14N rations to evaluate the food source of the mysid,Neomysis intermedia Czerniawsky, in a eutrophic lake in Japan",10.1007/BF00012114,Japan,Kanto,36.037325,140.385948,Lake Kasumigaura,4.34,Lake,Goby,Goby,Zooplankton,zooplankton,15.1,10.23,2,3.43,3.4,lake kasumigaura,lakekasumigaura,50
"Herwig, B. R. et al.",2004,Trophic structure and energy flow in backwater lakes of two large floodplain rivers assessed using stable isotopes,10.1139/f03-139,USA,Illinois,42.116721,-90.159029,Savanna Bay,2.41,Lake,Morone chrysops,White bass,invertebrate consumers,invertebrate consumers,17.48,13.4,2,3.2,3.4,savanna bay,savannabay,NA
"Herwig, B. R. et al.",2004,Trophic structure and energy flow in backwater lakes of two large floodplain rivers assessed using stable isotopes,10.1139/f03-139,USA,Illinois,42.377028,-88.126343,Long Lake,1.46,Lake,Lepisosteus platostomus,Shortnose gar,invertebrate consumers,invertebrate consumers,16.44,11.54,2,3.44,3.4,long lake,longlake,NA
"Bunn, S. E. et al.",1993,What Sources of Organic Carbon Drive Food Webs in Billabongs? A Study Based on Stable Isotope Analysis,10.2307/4220504,Austrailia,NA,NA,NA,Tallandoon,0.3,Lake,Galaxias rostratus,Flathead galaxias,Gastropoda,Snails,8.99,3.15,2,3.72,3.4,tallandoon,tallandoon,NA
"Bunn, S. E. et al.",1993,What Sources of Organic Carbon Drive Food Webs in Billabongs? A Study Based on Stable Isotope Analysis,10.2307/4220504,Austrailia,NA,NA,NA,Ryan's 1,0.54,Lake,Gambusia,Mosquitofish,Gastropoda,Snails,9.2,5.9,2,2.97,3.4,ryan's 1,ryan's1,350
"Bunn, S. E. et al.",1993,What Sources of Organic Carbon Drive Food Webs in Billabongs? A Study Based on Stable Isotope Analysis,10.2307/4220504,Austrailia,NA,NA,NA,Ryan's 2,0.95,Lake,Gudgeons,Gudgeons,Gastropoda,Snails,8.6,5,2,3.06,3.4,ryan's 2,ryan's2,NA
"Saito, L. et al.",2001,Assessing Ecosystem Effects of Reservoir Operations Using Food Web–Energy Transfer and Water Quality Models,10.1007/s100210000062,USA,California,40.754871,-122.341744,Shasta Lake,4.87,Lake,Oncorhynchus tshawytscha,Chinook salmon,Zooplankton,Zooplankton,11.85,4.4,2,4.19,3.4,shasta lake,shastalake,NA
"Gu, B. et al.",1996,Stable isotopes of carbon and nitrogen as indicators of diet and trophic structure of the fish community in a shallow hypereutrophic lake,10.1111/j.1095-8649.1996.tb01792.x,USA,Florida,28.62096,-81.628843,Lake Apopka,4.09,Lake,Lepisosteus platrhynchus,Florida gar,NA,NA,13.9,7.2,2,3.97,3.4,lake apopka,lakeapopka,210
"Campbell, L. M. et al.",2003,"Stable Isotope Analyses of Food Web Structure and Fish Diet in Napoleon and Winam Gulfs, Lake Victoria, East Africa",10.1016/S0380-1330(03)70552-8,Tanzania,NA,-1.034678,32.824615,Lake Victoria,6.83,Lake,Lates nilotica,Nile perch,Ephemeroptera,Mayfly(nymphs),12.31,6.98,2,3.57,3.4,lake victoria,lakevictoria,NA
"Wantzen, K. M. et al.",2002,"Seasonal isotopic shifts in fish of the Pantanal wetland, Brazil",10.1007/PL00013196,Brazil,NA,-3.022765,-44.905911,Lake Coqueiro,NA,Lake,Roeboides paranensis,Parana scale-eating characin,Aquatic Macrophytes,Aquatic Macrophytes,12.18,9.19,2,2.88,3.4,lake coqueiro,lakecoqueiro,237
"Xu, J. et al.",2004,Studies on the Food Web Structure of Lake Donghu Using Stable Carbon and Nitrogen Isotope Ratios,10.1080/02705060.2004.9664746,China,Wuhan,30.554565,114.37891,Lake Donghu,3.51,Lake,Aristichthys nobilis,Bighead carp,Branchiura sowerbyi,aquatic oligochaete worm,11.4,7.91,2,3.03,3.4,lake donghu,lakedonghu,402
"Vander Zanden, M. J. et al.",2003,Historical Food Web Structure and Restoration of Native Aquatic Communities in the Lake Tahoe (California–Nevada) Basin,10.1007/s10021-002-0204-7,USA,California,39.092996,-120.021638,Lake Tahoe,4.7,Lake,Salmo trutta,Brown trout,NA,NA,NA,NA,NA,3.55,3.4,lake tahoe,laketahoe,NA
"Vander Zanden, M. J. et al.",2003,Historical Food Web Structure and Restoration of Native Aquatic Communities in the Lake Tahoe (California–Nevada) Basin,10.1007/s10021-002-0204-7,USA,California,38.940057,-120.092166,Cascade Lake,1.93,Lake,Salmo trutta,Brown trout,NA,NA,NA,NA,NA,3.8,3.4,cascade lake,cascadelake,NA
"Kline, T. C. et al.",1993,"Recycling of elements transported upstream by runs of pacific salmon.2. delta-N-15 and delta-C-13 evidence in the Kvichak River watershed, Bristol Bay, southwestern Alaska",NA,USA,Alaska,59.552447,-155.097954,Lliamna Lake,5.4,Lake,Oncorhynchus mykiss,Rainbow trout,NA,NA,13.6,7.55,2,3.78,3.4,lliamna lake,lliamnalake,NA
"Kline, T. C. et al.",1993,"Recycling of elements transported upstream by runs of pacific salmon.2. delta-N-15 and delta-C-13 evidence in the Kvichak River watershed, Bristol Bay, southwestern Alaska",NA,USA,Alaska,NA,NA,Control Lake,1.6,Lake,Salvelinus malma,Dolly Varden trout,NA,NA,9.2,3.15,2,3.78,3.4,control lake,controllake,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,NA,NA,NA,NA,Lake 373,1.43,Lake,Salvelinus namaycush,Lake trout,Zooplankton,Zooplankton,9.8,4.23,2,3.64,3.4,lake 373,lake373,4.96
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,NA,NA,NA,NA,Lake 240,1.64,Lake,Esox lucius,Northern pike,Zooplankton,Zooplankton,9.91,2.55,2,4.16,3.4,lake 240,lake240,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Malawi,NA,-11.276985,34.521493,Lake Malawi,6.46,Lake,Rhamphochromis ferox,NA,Epilithon,Epilithon,9.55,-0.65,2,5,3.4,lake malawi,lakemalawi,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Uganda,NA,1.497138,32.944445,Kyoga Lake,5.43,Lake,Rastrineobola argentea,Silver cyprinid,Caridina niloticus,Lake shrimp,9.14,3.04,2,3.79,3.4,kyoga lake,kyogalake,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Canada,NA,NA,NA,Big,2.92,Lake,Stenodus leucichthys,Beloribitsa,Valvata sincera helicoidea,Northern Valve Snail,11.32,3.64,2,4.26,3.4,big,big,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Canada,NA,NA,NA,South,1.66,Lake,Coregonus clupeaformis,Lake whitehead,Valvata sincera helicoidea,Northern Valve Snail,7.67,3.34,2,3.27,3.4,south,south,NA
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Canada,Inuvik,NA,NA,Lake 18,2.46,Lake,Esox lucius,Northern pike,Amphipoda,Amphipods,12.67,6.54,2,3.8,3.4,lake 18,lake18,22
"Hecky, R. E. et al.",1995,Contributions of Benthic Algae to Lake Food Webs as Revealed by Stable Isotope Analysis,10.2307/1467546,Canada,Ontario,47.950457,-79.744158,Skidoo,1.77,Lake,Stenodus leucichthys,Beloribitsa,Valvata sincera helicoidea,Northern Valve Snail,12.56,2.59,2,4.93,3.4,skidoo,skidoo,NA
"Fetzer, W. W.",NA,NA,NA,USA,Wisconsin,43.10801,-89.416865,Lake Mendota,3.6,Lake,Esox lucius,Northern pike,NA,NA,20.4,13.8,2,3.94,3.4,lake mendota,lakemendota,32
"Fetzer, W. W.",NA,NA,NA,USA,Wisconsin,43.069861,-89.35781,Lake Monona,3.12,Lake,Micropterus salmoides,Largemouth bass,NA,NA,16.96,9.82,2,4.1,3.4,lake monona,lakemonona,34
